,id,Company,TypeName,Ram,Weight,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os,Price,CalculatedPrice
40,438,Lenovo,Ultrabook,24,1.32,0,0,209.8006828649808,Intel Core i7,0.0,512,0.0,Windows,,193.69666230394424
41,1141,MSI,Gaming,8,2.4,0,0,141.21199808219862,Intel Core i7,1000.0,128,0.5,Windows,,132.78808420593884
42,218,Dell,Ultrabook,8,1.6,0,0,157.3505121487356,Intel Core i5,0.0,256,0.0,Windows,,146.8886888972244
43,23,Dell,2 in 1 Convertible,8,1.62,1,0,165.6321180513006,Intel Core i5,0.0,256,0.0,Windows,,154.05827353222435
44,419,Lenovo,Ultrabook,8,1.75,0,1,157.3505121487356,Intel Core i7,0.0,256,1.0,Windows,,146.82748783700077
45,663,HP,Notebook,6,2.04,0,0,141.21199808219862,Intel Core i3,1000.0,0,1.0,Windows,,132.59311753614972
46,293,Dell,Notebook,8,2.0,0,0,141.21199808219862,Intel Core i7,0.0,256,0.5,Windows,,132.87856691039272
47,42,Asus,Notebook,8,2.3,0,0,100.45466986113652,Intel Core i5,1000.0,0,0.5,Others,,97.5035233679402
48,1110,HP,Notebook,8,1.16,1,0,276.053530085501,Other Intel Processor,0.0,256,0.0,Windows,,249.66875345887692
49,708,Lenovo,Notebook,8,1.8,0,0,157.3505121487356,Intel Core i5,0.0,256,0.0,Windows,,146.8842802385125
50,767,Dell,Gaming,16,2.72,1,1,282.42399616439724,Intel Core i7,1000.0,128,0.5,Windows,,255.73497737174137
51,848,HP,2 in 1 Convertible,8,1.28,1,0,165.6321180513006,Intel Core i5,0.0,256,0.0,Windows,,154.06576825203462
52,80,Dell,Ultrabook,8,1.88,0,1,141.21199808219862,Intel Core i5,0.0,256,0.0,Windows,,132.91015938871473
53,62,Lenovo,Notebook,8,1.7,0,1,157.3505121487356,Intel Core i3,0.0,256,0.0,Others,,146.88648456786845
54,121,MSI,Gaming,16,1.8,0,0,141.21199808219862,Intel Core i7,2000.0,256,0.5,Windows,,133.41546468454752
55,1047,MSI,Gaming,16,3.78,0,1,127.33567457123112,Intel Core i7,1000.0,256,0.5,Windows,,121.43967995024829
56,77,Dell,Notebook,8,2.02,0,0,141.21199808219862,Intel Core i7,1000.0,128,0.0,Windows,,132.82540794058636
57,978,HP,Notebook,6,2.04,0,0,100.45466986113652,Intel Core i7,1000.0,0,0.0,Windows,,97.36424693498482
58,274,Toshiba,&&Notebook,8,2.2,0,0,100.45466986113652,Intel Core i7,500.0,0,0.5,Windows,,97.5465603908112
59,1088,HP,Notebook,4,1.29,0,0,276.053530085501,Other Intel Processor,0.0,0,0.0,Others,,249.31797788596268
60,750,Lenovo,Netbook,4,1.4,1,0,135.0942111925629,Other Intel Processor,0.0,128,0.0,Windows,,127.27618987230485
61,581,Dell,Notebook,8,1.9,0,0,100.45466986113652,Intel Core i5,500.0,0,0.0,Windows,,97.58212066197393
62,348,Asus,2 in 1 Convertible,4,1.5,1,0,135.0942111925629,Other Intel Processor,0.0,0,0.0,Windows,,127.27398554294889
63,251,Asus,Gaming,16,4.3,0,0,127.33567457123112,Intel Core i7,1000.0,256,0.5,Windows,,121.4282174375973
